Time ,cost/client/h ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:47:28 UTC 2014,1.08,47.8,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:44 UTC 2014,1.08,47.8,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:54 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:07 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:22 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:36 UTC 2014,0.0042,53.55,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:47 UTC 2014,0.0029,51.3,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:48:57 UTC 2014,0.0029,51.3,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:05 UTC 2014,0.0029,51.3,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:22 UTC 2014,1.08,49.6,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:31 UTC 2014,1.08,49.6,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:41 UTC 2014,1.08,39.15,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:49:53 UTC 2014,1.08,39.15,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:50:06 UTC 2014,0.06,41.8,9,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:50:17 UTC 2014,0.06,41.8,9,,
Wed Feb 12 16:50:27 UTC 2014,0.96,42.2,8,,
Wed Feb 12 16:50:39 UTC 2014,0.96,42.2,8,,
Wed Feb 12 16:50:48 UTC 2014,0.96,42.2,8,,
Wed Feb 12 16:50:57 UTC 2014,0.96,42.2,8,,
Wed Feb 12 16:51:15 UTC 2014,0.0044,47.3,8,,
