Time ,cost ,responseTime ,throughput ,activeConnections,numberOfVMs , ongoingAction,actionTarget
Wed Feb 12 16:43:07 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:14 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:24 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:31 UTC 2014,0.72,7.2,258,55,6,,
Wed Feb 12 16:43:38 UTC 2014,0.72,127,55,7,6,,
Wed Feb 12 16:43:50 UTC 2014,0.72,127,55,7,6,,
Wed Feb 12 16:43:59 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:05 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:12 UTC 2014,0.72,5.8,89,0,6,,
Wed Feb 12 16:44:19 UTC 2014,0.72,6.6,77,184,6,,
Wed Feb 12 16:44:30 UTC 2014,0.72,7.6,245,492,6,,
Wed Feb 12 16:44:47 UTC 2014,0.72,7.6,245,492,6,,
Wed Feb 12 16:44:55 UTC 2014,0.72,7.6,245,492,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:20 UTC 2014,0.72,7.6,245,492,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:32 UTC 2014,0.72,6.8,152,176,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:45:48 UTC 2014,0.72,9.2,167,223,6,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:46:03 UTC 2014,0.72,9.2,167,223,7,EventProcessingServiceUnit_scaleOut,
Wed Feb 12 16:46:22 UTC 2014,0.84,7,224,75,7,,
Wed Feb 12 16:46:33 UTC 2014,0.84,7,224,75,7,,
Wed Feb 12 16:46:41 UTC 2014,0.84,6,440,100,7,,
Wed Feb 12 16:46:48 UTC 2014,0.84,6,440,100,7,,
Wed Feb 12 16:47:01 UTC 2014,0.84,7,248,112,7,,
Wed Feb 12 16:47:16 UTC 2014,0.84,7,248,112,7,,
Wed Feb 12 16:47:34 UTC 2014,0.84,-0.1667,-1,0,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:47:52 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:04 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:20 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:35 UTC 2014,0.84,9.6667,257,255,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:48:50 UTC 2014,0.84,7.6667,255,376,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:02 UTC 2014,0.84,7.6667,255,376,7,EventProcessingServiceUnit_scaleIn,
Wed Feb 12 16:49:14 UTC 2014,0.84,4.1667,155,0,7,EventProcessingServiceUnit_scaleIn,
