Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Wed Feb 12 16:42:46 UTC 2014,0.12,244,1,,
Wed Feb 12 16:42:54 UTC 2014,0.12,55,1,,
Wed Feb 12 16:43:00 UTC 2014,0.12,55,1,,
Wed Feb 12 16:43:08 UTC 2014,0.12,55,1,,
Wed Feb 12 16:43:29 UTC 2014,0.12,55,1,,
Wed Feb 12 16:43:39 UTC 2014,0.12,7,1,,
Wed Feb 12 16:43:49 UTC 2014,0.12,7,1,,
Wed Feb 12 16:44:00 UTC 2014,0.12,0,1,,
Wed Feb 12 16:44:18 UTC 2014,0.12,184,1,,
Wed Feb 12 16:44:24 UTC 2014,0.12,184,1,,
Wed Feb 12 16:44:35 UTC 2014,0.12,184,1,,
Wed Feb 12 16:44:42 UTC 2014,0.12,492,1,,
Wed Feb 12 16:44:52 UTC 2014,0.12,492,1,,
Wed Feb 12 16:44:58 UTC 2014,0.12,492,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:11 UTC 2014,0.12,492,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:25 UTC 2014,0.12,176,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:35 UTC 2014,0.12,176,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:47 UTC 2014,0.12,176,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:45:56 UTC 2014,0.12,223,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:06 UTC 2014,0.12,223,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:17 UTC 2014,0.12,75,1,EventProcessingServiceUnit_scaleOut,EventProcessingServiceUnit
Wed Feb 12 16:46:30 UTC 2014,0.12,75,1,,
Wed Feb 12 16:46:47 UTC 2014,0.12,100,1,,
Wed Feb 12 16:47:04 UTC 2014,0.12,112,1,,
Wed Feb 12 16:47:16 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
Wed Feb 12 16:47:38 UTC 2014,0.12,0,1,EventProcessingServiceUnit_scaleIn,EventProcessingServiceUnit
