Time ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423144156138,57.0,30.0,791.75,EventProcessingUnit,ScaleOut,
1423144161142,38.0,47.0,929.25,EventProcessingUnit,ScaleOut,
1423144166130,50.0,36.0,734.75,EventProcessingUnit,ScaleOut,
1423144171131,36.0,35.0,836.5,EventProcessingUnit,ScaleOut,
1423144176136,38.0,41.0,1019.75,EventProcessingUnit,ScaleOut,
1423144181138,57.0,26.0,806.5,EventProcessingUnit,ScaleOut,
1423144186137,42.0,44.0,929.25,EventProcessingUnit,ScaleOut,
1423144191136,44.0,34.0,953.75,EventProcessingUnit,ScaleOut,
1423144196134,56.0,31.0,788.75,EventProcessingUnit,ScaleOut,
1423144201136,38.0,47.0,902.75,EventProcessingUnit,ScaleOut,
1423144206138,54.0,30.0,776.25,EventProcessingUnit,ScaleOut,
1423144211144,51.0,31.0,922.25,EventProcessingUnit,ScaleOut,
1423144216143,40.0,44.0,888.5,EventProcessingUnit,ScaleOut,
1423144221158,56.0,33.0,755.5,EventProcessingUnit,ScaleOut,
1423144226152,38.0,44.0,960.5,EventProcessingUnit,ScaleOut,
1423144231152,49.0,37.0,781.5,EventProcessingUnit,ScaleOut,
1423144236152,52.0,35.0,821.75,EventProcessingUnit,ScaleOut,
1423144241152,40.0,47.0,875.75,EventProcessingUnit,ScaleOut,
1423144246153,56.0,29.0,750.5,EventProcessingUnit,ScaleOut,
1423144251159,50.0,40.0,866.25,EventProcessingUnit,ScaleOut,
1423144256159,43.0,38.0,904.5,EventProcessingUnit,ScaleOut,
1423144261159,56.0,34.0,760.25,EventProcessingUnit,ScaleOut,
1423144266161,39.0,42.0,967.75,EventProcessingUnit,ScaleOut,
1423144271168,53.0,34.0,747.0,EventProcessingUnit,ScaleOut,
1423144276161,52.0,33.0,874.25,EventProcessingUnit,ScaleOut,
1423144281205,40.0,44.0,889.75,EventProcessingUnit,ScaleOut,
1423144286174,40.0,44.0,889.75,EventProcessingUnit,ScaleOut,
1423144291172,40.0,46.0,918.25,EventProcessingUnit,ScaleOut,
1423144296233,44.0,34.0,846.0,
1423144301218,44.0,34.0,846.0,
1423144306214,45.0,28.0,780.75,
1423144311214,32.0,34.0,945.75,
1423144316214,38.0,32.0,885.0,
1423144321214,33.0,27.0,1000.75,
1423144326234,33.0,27.0,1000.75,
1423144331223,31.0,37.0,899.0,
1423144336228,31.0,37.0,899.0,
1423144341252,39.0,25.0,820.5,
1423144346242,44.0,38.0,835.6,
1423144351261,44.0,38.0,835.6,
1423144356242,39.0,50.0,891.2,
1423144361336,39.0,50.0,891.2,
1423144366385,53.0,30.0,821.2,
1423144371387,39.0,39.0,942.6,
1423144376392,57.0,28.0,772.8,
1423144381392,41.0,42.0,958.0,
1423144386396,45.0,44.0,787.2,
1423144391463,55.0,35.0,761.6,
1423144396512,55.0,35.0,761.6,EventProcessingUnit,ScaleOut,
1423144401523,54.0,29.0,792.6,EventProcessingUnit,ScaleOut,
1423144406520,48.0,42.0,857.6,EventProcessingUnit,ScaleOut,
1423144411544,48.0,42.0,857.6,EventProcessingUnit,ScaleOut,
1423144416571,57.0,33.0,767.0,EventProcessingUnit,ScaleOut,
1423144421597,37.0,48.0,933.4,EventProcessingUnit,ScaleOut,
1423144426598,49.0,34.0,799.6,EventProcessingUnit,ScaleOut,
1423144431600,53.0,39.0,787.6,EventProcessingUnit,ScaleOut,
1423144436692,53.0,39.0,787.6,EventProcessingUnit,ScaleOut,
1423144441695,56.0,28.0,860.6,EventProcessingUnit,ScaleOut,
1423144446698,44.0,43.0,897.4,EventProcessingUnit,ScaleOut,
1423144451712,44.0,43.0,897.4,EventProcessingUnit,ScaleOut,
1423144456721,56.0,28.0,827.4,EventProcessingUnit,ScaleOut,
1423144461720,38.0,47.0,925.2,EventProcessingUnit,ScaleOut,
1423144466747,54.0,30.0,812.0,EventProcessingUnit,ScaleOut,
1423144471761,50.0,38.0,843.6,EventProcessingUnit,ScaleOut,
1423144476754,40.0,40.0,909.2,EventProcessingUnit,ScaleOut,
1423144481768,59.0,29.0,745.6,EventProcessingUnit,ScaleOut,
1423144486766,41.0,44.0,928.8,EventProcessingUnit,ScaleOut,
1423144491767,49.0,37.0,821.4,EventProcessingUnit,ScaleOut,
1423144496765,57.0,29.0,794.4,EventProcessingUnit,ScaleOut,
1423144501770,37.0,46.0,940.8,EventProcessingUnit,ScaleOut,
1423144506768,55.0,27.0,842.0,EventProcessingUnit,ScaleOut,
1423144511768,49.0,30.0,982.6,EventProcessingUnit,ScaleOut,
1423144516768,42.0,40.0,891.2,EventProcessingUnit,ScaleOut,
1423144521768,58.0,27.0,801.2,EventProcessingUnit,ScaleOut,
1423144526771,41.0,46.0,909.4,EventProcessingUnit,ScaleOut,
1423144531771,51.0,34.0,786.8,EventProcessingUnit,ScaleOut,
1423144536770,52.0,32.0,935.8,EventProcessingUnit,ScaleOut,
1423144541767,41.0,47.0,825.8,EventProcessingUnit,ScaleOut,
1423144546779,58.0,30.0,746.6,EventProcessingUnit,ScaleOut,
1423144551775,42.0,49.0,845.0,EventProcessingUnit,ScaleOut,
1423144556771,46.0,39.0,836.4,EventProcessingUnit,ScaleOut,
1423144561776,61.0,25.0,770.0,EventProcessingUnit,ScaleOut,
1423144566777,39.0,48.0,916.8,EventProcessingUnit,ScaleOut,
1423144571780,48.0,33.0,840.0,EventProcessingUnit,ScaleOut,
1423144576786,52.0,35.0,832.2,EventProcessingUnit,ScaleOut,
1423144581791,38.0,43.0,922.4,EventProcessingUnit,ScaleOut,
1423144586794,57.0,26.0,811.4,EventProcessingUnit,ScaleOut,
1423144591793,43.0,38.0,1013.6,EventProcessingUnit,ScaleOut,
1423144596797,46.0,37.0,867.2,EventProcessingUnit,ScaleOut,
1423144601797,54.0,31.0,832.6,EventProcessingUnit,ScaleOut,
1423144606799,38.0,42.0,971.2,EventProcessingUnit,ScaleOut,
1423144611801,55.0,34.0,779.8,EventProcessingUnit,ScaleOut,
1423144616807,46.0,46.0,862.4,EventProcessingUnit,ScaleOut,
1423144621814,42.0,40.0,875.8,EventProcessingUnit,ScaleOut,
1423144626823,59.0,34.0,732.4,EventProcessingUnit,ScaleOut,
1423144631825,40.0,48.0,907.6,EventProcessingUnit,ScaleOut,
1423144636830,47.0,38.0,823.8,EventProcessingUnit,ScaleOut,
1423144641835,53.0,34.0,859.0,EventProcessingUnit,ScaleOut,
1423144646832,40.0,50.0,824.8,EventProcessingUnit,ScaleOut,
1423144651834,58.0,29.0,766.2,EventProcessingUnit,ScaleOut,
1423144656837,41.0,45.0,913.4,EventProcessingUnit,ScaleOut,
1423144661840,45.0,34.0,933.8,EventProcessingUnit,ScaleOut,
1423144666842,55.0,35.0,794.0,EventProcessingUnit,ScaleOut,
1423144671842,37.0,46.0,921.8,EventProcessingUnit,ScaleOut,
1423144676842,54.0,34.0,744.6,EventProcessingUnit,ScaleOut,
1423144681844,46.0,40.0,924.2,EventProcessingUnit,ScaleOut,
1423144686855,44.0,41.0,836.4,EventProcessingUnit,ScaleOut,
