Time ,cpu_idle ,connectionRate ,instance ,pendingRequests ,throughput ,responseTime , ongoingAction, targetedNodeID
1423143855970,91.3,0.0,1.0,2.0,19.0,1383.0,EventProcessingUnit,ScaleOut,
1423143860978,91.3,0.0,1.0,27.0,4.0,505.0,EventProcessingUnit,ScaleOut,
1423143865979,91.3,0.0,1.0,12.0,11.0,1326.0,EventProcessingUnit,ScaleOut,
1423143870979,91.3,0.0,1.0,12.0,14.0,790.0,EventProcessingUnit,ScaleOut,
1423143875981,91.3,0.0,1.0,27.0,6.0,628.0,EventProcessingUnit,ScaleOut,
1423143880981,91.3,0.0,1.0,4.0,25.0,1165.0,EventProcessingUnit,ScaleOut,
1423143885983,91.3,0.0,1.0,17.0,4.0,577.0,
1423143891001,93.7,0.0,1.0,12.0,12.0,907.0,
1423143895998,93.7,0.0,1.0,6.0,15.0,848.0,
1423143901000,93.7,0.0,1.0,6.0,15.0,848.0,
1423143905999,93.7,0.0,1.0,9.0,14.0,1013.0,
1423143911000,93.7,0.0,1.0,9.0,12.0,751.0,
1423143916000,93.7,0.0,1.0,21.0,2.0,676.0,
1423143921000,93.7,0.0,1.0,3.0,18.0,1181.0,
1423143926003,93.7,0.0,1.0,14.0,5.0,664.0,
1423143931004,93.7,0.0,1.0,17.0,5.0,833.0,
1423143936006,93.7,0.0,1.0,1.0,13.0,1573.0,
1423143941004,93.7,0.0,1.0,19.0,4.0,519.0,
1423143946003,93.7,0.0,1.0,11.0,11.0,1007.0,
1423143951005,94.5,0.0,1.0,7.0,12.0,902.0,
1423143956007,94.5,0.0,1.0,22.0,3.0,571.0,
1423143961004,94.5,0.0,1.0,3.0,17.0,1241.0,
1423143966005,94.5,0.0,1.0,16.0,5.0,610.0,
1423143971007,94.5,0.0,1.0,15.0,7.0,907.0,
1423143976005,94.5,0.0,1.0,3.0,17.0,960.0,
1423143981014,94.5,0.0,1.0,22.0,1.0,515.0,
1423143986015,94.5,0.0,1.0,7.0,14.0,1136.0,
1423143991017,94.5,0.0,1.0,11.0,10.0,660.0,
1423143996015,94.5,0.0,1.0,18.0,7.0,709.0,
1423144001016,94.5,0.0,1.0,1.0,13.0,1572.0,
1423144006016,94.5,0.0,1.0,20.0,2.0,520.0,
1423144011016,94.5,0.0,1.0,10.0,11.0,1081.0,
1423144016018,94.5,0.0,1.0,8.0,10.0,916.0,
1423144021018,94.5,0.0,1.0,21.0,3.0,638.0,EventProcessingUnit,ScaleOut,
1423144026018,94.5,0.0,1.0,2.0,17.0,1310.0,EventProcessingUnit,ScaleOut,
1423144031021,94.5,0.0,1.0,16.0,6.0,568.0,EventProcessingUnit,ScaleOut,
1423144036026,94.5,0.0,1.0,15.0,7.0,910.0,EventProcessingUnit,ScaleOut,
1423144041080,93.6,0.0,1.0,4.0,14.0,1075.0,EventProcessingUnit,ScaleOut,
1423144046049,93.6,0.0,1.0,23.0,0.0,480.0,EventProcessingUnit,ScaleOut,
1423144051056,93.6,0.0,1.0,7.0,17.0,1002.0,EventProcessingUnit,ScaleOut,
1423144056058,93.6,0.0,1.0,12.0,8.0,668.0,EventProcessingUnit,ScaleOut,
1423144061058,93.6,0.0,1.0,17.0,4.0,886.0,EventProcessingUnit,ScaleOut,
1423144066060,93.6,0.0,1.0,2.0,16.0,1171.0,EventProcessingUnit,ScaleOut,
1423144071068,93.6,0.0,1.0,21.0,1.0,515.0,EventProcessingUnit,ScaleOut,
1423144076069,93.6,0.0,1.0,9.0,10.0,1216.0,EventProcessingUnit,ScaleOut,
1423144081071,93.6,0.0,1.0,9.0,10.0,788.0,EventProcessingUnit,ScaleOut,
1423144086075,93.6,0.0,1.0,20.0,4.0,662.0,EventProcessingUnit,ScaleOut,
1423144091083,94.3,0.0,1.0,2.0,17.0,1310.0,EventProcessingUnit,ScaleOut,
1423144096082,94.3,0.0,1.0,14.0,5.0,625.0,EventProcessingUnit,ScaleOut,
1423144101081,94.3,0.0,1.0,16.0,7.0,858.0,EventProcessingUnit,ScaleOut,
1423144106084,94.3,0.0,1.0,3.0,15.0,1124.0,EventProcessingUnit,ScaleOut,
1423144111092,94.3,0.0,1.0,21.0,1.0,507.0,EventProcessingUnit,ScaleOut,
1423144116091,94.3,0.0,1.0,8.0,10.0,1311.0,EventProcessingUnit,ScaleOut,
1423144121097,94.3,0.0,1.0,11.0,10.0,692.0,EventProcessingUnit,ScaleOut,
1423144126087,94.3,0.0,1.0,20.0,4.0,691.0,EventProcessingUnit,ScaleOut,
1423144131135,94.3,0.0,1.0,1.0,20.0,1142.0,EventProcessingUnit,ScaleOut,
1423144136101,94.3,0.0,1.0,17.0,4.0,554.0,EventProcessingUnit,ScaleOut,
1423144141101,94.3,0.0,1.0,12.0,10.0,980.0,EventProcessingUnit,ScaleOut,
1423144146119,94.3,0.0,1.0,6.0,13.0,934.0,EventProcessingUnit,ScaleOut,
1423144151125,94.3,0.0,1.0,23.0,1.0,528.0,EventProcessingUnit,ScaleOut,
1423144156138,94.3,0.0,1.0,5.0,17.0,1107.0,EventProcessingUnit,ScaleOut,
1423144161142,94.3,0.0,1.0,13.0,10.0,595.0,EventProcessingUnit,ScaleOut,
1423144166130,94.3,0.0,1.0,18.0,6.0,732.0,EventProcessingUnit,ScaleOut,
1423144171131,94.2,0.0,1.0,1.0,19.0,1150.0,EventProcessingUnit,ScaleOut,
1423144176136,94.2,0.0,1.0,19.0,4.0,528.0,EventProcessingUnit,ScaleOut,
1423144181138,94.2,0.0,1.0,10.0,8.0,1259.0,EventProcessingUnit,ScaleOut,
1423144186137,94.2,0.0,1.0,8.0,12.0,819.0,EventProcessingUnit,ScaleOut,
1423144191136,94.2,0.0,1.0,22.0,3.0,586.0,EventProcessingUnit,ScaleOut,
1423144196134,94.2,0.0,1.0,3.0,19.0,1125.0,EventProcessingUnit,ScaleOut,
1423144201136,94.2,0.0,1.0,14.0,6.0,618.0,EventProcessingUnit,ScaleOut,
1423144206138,94.2,0.0,1.0,15.0,6.0,943.0,EventProcessingUnit,ScaleOut,
1423144211144,94.2,0.0,1.0,4.0,13.0,1134.0,EventProcessingUnit,ScaleOut,
1423144216143,94.2,0.0,1.0,22.0,1.0,505.0,EventProcessingUnit,ScaleOut,
1423144221158,94.2,0.0,1.0,7.0,15.0,1084.0,EventProcessingUnit,ScaleOut,
1423144226152,94.2,0.0,1.0,11.0,9.0,690.0,EventProcessingUnit,ScaleOut,
1423144231152,94.2,0.0,1.0,18.0,7.0,714.0,EventProcessingUnit,ScaleOut,
1423144236152,94.2,0.0,1.0,2.0,20.0,1130.0,EventProcessingUnit,ScaleOut,
1423144241152,94.2,0.0,1.0,16.0,6.0,559.0,EventProcessingUnit,ScaleOut,
1423144246153,94.2,0.0,1.0,14.0,9.0,905.0,EventProcessingUnit,ScaleOut,
1423144251159,94.2,0.0,1.0,6.0,15.0,888.0,EventProcessingUnit,ScaleOut,
1423144256159,94.2,0.0,1.0,23.0,1.0,529.0,EventProcessingUnit,ScaleOut,
1423144261159,94.0,0.0,1.0,5.0,17.0,1112.0,EventProcessingUnit,ScaleOut,
1423144266161,94.0,0.0,1.0,14.0,8.0,597.0,EventProcessingUnit,ScaleOut,
1423144271168,94.0,0.0,1.0,16.0,8.0,812.0,EventProcessingUnit,ScaleOut,
1423144276161,94.0,0.0,1.0,3.0,17.0,1009.0,EventProcessingUnit,ScaleOut,
1423144281205,94.0,0.0,1.0,22.0,1.0,490.0,EventProcessingUnit,ScaleOut,
1423144286174,94.0,0.0,1.0,22.0,1.0,490.0,EventProcessingUnit,ScaleOut,
1423144291172,94.0,0.0,1.0,11.0,11.0,660.0,EventProcessingUnit,ScaleOut,
1423144296233,94.0,0.0,1.0,17.0,5.0,743.0,
1423144301218,94.0,0.0,1.0,17.0,5.0,743.0,
1423144306214,94.0,0.0,1.0,2.0,16.0,1047.0,
1423144311214,94.0,0.0,1.0,12.0,6.0,573.0,
1423144316214,94.4,0.0,1.0,4.0,10.0,1026.0,
1423144321214,94.4,0.0,1.0,18.0,0.0,513.0,
1423144326234,94.4,0.0,1.0,18.0,0.0,513.0,
1423144331223,94.4,0.0,1.0,9.0,7.0,700.0,
1423144336228,94.4,0.0,1.0,9.0,7.0,700.0,
1423144341252,94.4,0.0,1.0,15.0,2.0,804.0,
1423144346242,94.4,0.0,1.0,14.0,1.0,626.0,
1423144351261,94.4,0.0,1.0,14.0,1.0,626.0,
1423144356242,94.4,0.0,1.0,6.0,11.0,818.0,
1423144361336,94.4,0.0,1.0,6.0,11.0,818.0,
1423144366385,94.4,0.0,1.0,18.0,2.0,569.0,
1423144371387,94.8,0.0,1.0,10.0,6.0,666.0,
1423144376392,94.8,0.0,1.0,14.0,4.0,820.0,
1423144381392,94.8,0.0,1.0,1.0,14.0,1135.0,
1423144386396,94.8,0.0,1.0,16.0,2.0,487.0,
1423144391463,94.8,0.0,1.0,8.0,12.0,908.0,
1423144396512,94.8,0.0,1.0,8.0,12.0,908.0,EventProcessingUnit,ScaleOut,
1423144401523,94.8,0.0,1.0,17.0,1.0,682.0,EventProcessingUnit,ScaleOut,
1423144406520,94.8,0.0,1.0,2.0,16.0,1107.0,EventProcessingUnit,ScaleOut,
1423144411544,94.8,0.0,1.0,2.0,16.0,1107.0,EventProcessingUnit,ScaleOut,
1423144416571,94.8,0.0,1.0,10.0,10.0,870.0,EventProcessingUnit,ScaleOut,
1423144421597,94.8,0.0,1.0,4.0,9.0,1039.0,EventProcessingUnit,ScaleOut,
1423144426598,94.8,0.0,1.0,18.0,0.0,513.0,EventProcessingUnit,ScaleOut,
1423144431600,94.8,0.0,1.0,7.0,11.0,1044.0,EventProcessingUnit,ScaleOut,
1423144436692,94.8,0.0,1.0,7.0,11.0,1044.0,EventProcessingUnit,ScaleOut,
1423144441695,94.8,0.0,1.0,15.0,5.0,675.0,EventProcessingUnit,ScaleOut,
