Time ,cpu_idle ,connectionRate ,instance , ongoingAction, targetedNodeID
1423144291172,95.3,69.0,1.0,EventProcessingUnit,ScaleOut,
1423144296233,94.2,42.0,1.0,
1423144301218,94.2,42.0,1.0,
1423144306214,94.2,23.0,1.0,
1423144311214,96.5,87.0,1.0,
1423144316214,96.3,50.0,1.0,
1423144321214,96.3,65.0,1.0,
1423144326234,96.3,65.0,1.0,
1423144331223,96.5,71.0,1.0,
1423144336228,96.5,71.0,1.0,
1423144341252,94.9,44.0,1.0,
1423144346242,94.0,86.0,1.0,
1423144351261,94.0,86.0,1.0,
1423144356242,95.3,57.0,1.0,
1423144361336,95.3,57.0,1.0,
1423144366385,95.3,56.0,1.0,
1423144371387,95.6,75.0,1.0,
1423144376392,94.3,39.0,1.0,
1423144381392,94.3,35.0,1.0,
1423144386396,94.5,78.0,1.0,
1423144391463,94.5,14.0,1.0,
1423144396512,94.5,14.0,1.0,EventProcessingUnit,ScaleOut,
1423144401523,93.1,53.0,1.0,EventProcessingUnit,ScaleOut,
1423144406520,94.5,22.0,1.0,EventProcessingUnit,ScaleOut,
1423144411544,94.5,22.0,1.0,EventProcessingUnit,ScaleOut,
1423144416571,95.3,22.0,1.0,EventProcessingUnit,ScaleOut,
1423144421597,95.3,50.0,1.0,EventProcessingUnit,ScaleOut,
1423144426598,95.6,67.0,1.0,EventProcessingUnit,ScaleOut,
1423144431600,95.6,9.0,1.0,EventProcessingUnit,ScaleOut,
1423144436692,95.6,9.0,1.0,EventProcessingUnit,ScaleOut,
1423144441695,95.0,48.0,1.0,EventProcessingUnit,ScaleOut,
1423144446698,95.2,28.0,1.0,EventProcessingUnit,ScaleOut,
1423144451712,95.2,28.0,1.0,EventProcessingUnit,ScaleOut,
1423144456721,92.7,21.0,1.0,EventProcessingUnit,ScaleOut,
1423144461720,92.7,56.0,1.0,EventProcessingUnit,ScaleOut,
1423144466747,93.2,58.0,1.0,EventProcessingUnit,ScaleOut,
1423144471761,93.2,16.0,1.0,EventProcessingUnit,ScaleOut,
1423144476754,94.7,76.0,1.0,EventProcessingUnit,ScaleOut,
1423144481768,94.7,36.0,1.0,EventProcessingUnit,ScaleOut,
1423144486766,93.9,40.0,1.0,EventProcessingUnit,ScaleOut,
1423144491767,93.9,72.0,1.0,EventProcessingUnit,ScaleOut,
1423144496765,95.1,17.0,1.0,EventProcessingUnit,ScaleOut,
1423144501770,95.1,57.0,1.0,EventProcessingUnit,ScaleOut,
1423144506768,95.4,58.0,1.0,EventProcessingUnit,ScaleOut,
1423144511768,95.4,16.0,1.0,EventProcessingUnit,ScaleOut,
1423144516768,92.6,81.0,1.0,EventProcessingUnit,ScaleOut,
1423144521768,92.6,32.0,1.0,EventProcessingUnit,ScaleOut,
1423144526771,94.2,43.0,1.0,EventProcessingUnit,ScaleOut,
1423144531771,94.2,70.0,1.0,EventProcessingUnit,ScaleOut,
1423144536770,95.9,8.0,1.0,EventProcessingUnit,ScaleOut,
1423144541767,95.9,73.0,1.0,EventProcessingUnit,ScaleOut,
1423144546779,92.3,40.0,1.0,EventProcessingUnit,ScaleOut,
1423144551775,92.3,34.0,1.0,EventProcessingUnit,ScaleOut,
1423144556771,94.8,80.0,1.0,EventProcessingUnit,ScaleOut,
1423144561776,94.8,26.0,1.0,EventProcessingUnit,ScaleOut,
1423144566777,95.1,45.0,1.0,EventProcessingUnit,ScaleOut,
1423144571780,95.1,73.0,1.0,EventProcessingUnit,ScaleOut,
1423144576786,92.9,9.0,1.0,EventProcessingUnit,ScaleOut,
1423144581791,92.9,67.0,1.0,EventProcessingUnit,ScaleOut,
1423144586794,92.4,46.0,1.0,EventProcessingUnit,ScaleOut,
1423144591793,92.4,31.0,1.0,EventProcessingUnit,ScaleOut,
1423144596797,93.1,83.0,1.0,EventProcessingUnit,ScaleOut,
1423144601797,93.1,16.0,1.0,EventProcessingUnit,ScaleOut,
1423144606799,91.9,57.0,1.0,EventProcessingUnit,ScaleOut,
1423144611801,91.9,56.0,1.0,EventProcessingUnit,ScaleOut,
1423144616807,93.0,20.0,1.0,EventProcessingUnit,ScaleOut,
1423144621814,93.0,84.0,1.0,EventProcessingUnit,ScaleOut,
1423144626823,95.0,29.0,1.0,EventProcessingUnit,ScaleOut,
1423144631825,95.0,38.0,1.0,EventProcessingUnit,ScaleOut,
1423144636830,95.1,75.0,1.0,EventProcessingUnit,ScaleOut,
1423144641835,95.1,10.0,1.0,EventProcessingUnit,ScaleOut,
1423144646832,94.8,69.0,1.0,EventProcessingUnit,ScaleOut,
1423144651834,94.8,44.0,1.0,EventProcessingUnit,ScaleOut,
1423144656837,95.3,27.0,1.0,EventProcessingUnit,ScaleOut,
1423144661840,95.3,86.0,1.0,EventProcessingUnit,ScaleOut,
1423144666842,95.2,16.0,1.0,EventProcessingUnit,ScaleOut,
1423144671842,95.2,59.0,1.0,EventProcessingUnit,ScaleOut,
1423144676842,95.0,55.0,1.0,EventProcessingUnit,ScaleOut,
1423144681844,95.0,22.0,1.0,EventProcessingUnit,ScaleOut,
1423144686855,95.7,89.0,1.0,EventProcessingUnit,ScaleOut,
1423144691878,95.7,23.0,1.0,EventProcessingUnit,ScaleOut,
1423144696878,95.2,47.0,1.0,EventProcessingUnit,ScaleOut,
1423144701883,95.2,65.0,1.0,EventProcessingUnit,ScaleOut,
1423144706885,95.5,9.0,1.0,EventProcessingUnit,ScaleOut,
1423144711890,95.5,75.0,1.0,EventProcessingUnit,ScaleOut,
1423144716889,96.0,38.0,1.0,EventProcessingUnit,ScaleOut,
1423144721919,96.0,34.0,1.0,EventProcessingUnit,ScaleOut,
1423144726896,95.2,79.0,1.0,EventProcessingUnit,ScaleOut,
1423144731904,95.2,12.0,1.0,EventProcessingUnit,ScaleOut,
1423144736901,92.9,65.0,1.0,EventProcessingUnit,ScaleOut,
1423144741910,92.9,50.0,1.0,EventProcessingUnit,ScaleOut,
1423144746911,94.9,24.0,1.0,EventProcessingUnit,ScaleOut,
1423144751912,94.9,90.0,1.0,EventProcessingUnit,ScaleOut,
1423144756912,95.5,40.0,1.0,EventProcessingUnit,ScaleOut,
1423144761918,95.5,36.0,1.0,EventProcessingUnit,ScaleOut,
1423144766919,94.8,77.0,1.0,EventProcessingUnit,ScaleOut,
1423144771933,94.8,11.0,1.0,EventProcessingUnit,ScaleOut,
1423144776928,96.4,64.0,1.0,EventProcessingUnit,ScaleOut,
1423144781929,96.4,48.0,1.0,EventProcessingUnit,ScaleOut,
1423144786932,95.1,26.0,1.0,EventProcessingUnit,ScaleOut,
1423144791937,95.1,85.0,1.0,EventProcessingUnit,ScaleOut,
1423144796943,93.8,20.0,1.0,EventProcessingUnit,ScaleOut,
1423144801950,93.8,53.0,1.0,EventProcessingUnit,ScaleOut,
1423144806953,92.5,64.0,1.0,EventProcessingUnit,ScaleOut,
1423144811962,92.5,9.0,1.0,EventProcessingUnit,ScaleOut,
1423144816963,94.8,66.0,1.0,EventProcessingUnit,ScaleOut,
1423144821995,94.8,48.0,1.0,EventProcessingUnit,ScaleOut,
1423144826998,95.2,29.0,1.0,
1423144832000,95.2,86.0,1.0,
1423144837009,95.3,21.0,1.0,
1423144842001,95.3,53.0,1.0,
1423144847002,94.9,60.0,1.0,
1423144852004,94.9,15.0,1.0,
1423144857002,94.8,82.0,1.0,
1423144862003,94.8,32.0,1.0,
1423144867029,96.2,39.0,1.0,
1423144872009,96.2,72.0,1.0,
1423144877009,95.2,9.0,1.0,
1423144882018,95.2,51.0,1.0,
1423144887010,94.7,65.0,1.0,
1423144892011,94.7,9.0,1.0,
1423144897019,95.1,66.0,1.0,
1423144902011,95.1,49.0,1.0,
1423144907012,94.9,22.0,1.0,
1423144912014,94.9,83.0,1.0,
1423144917014,96.2,31.0,1.0,
1423144922013,96.2,40.0,1.0,
1423144927027,93.7,76.0,1.0,
1423144932014,93.7,14.0,1.0,
1423144937014,91.8,60.0,1.0,
1423144942013,91.8,55.0,1.0,
1423144947029,91.8,18.0,1.0,EventProcessingUnit,ScaleOut,
1423144952021,91.8,74.0,1.0,EventProcessingUnit,ScaleOut,
1423144957023,94.2,51.0,1.0,EventProcessingUnit,ScaleOut,
1423144962038,94.2,24.0,1.0,EventProcessingUnit,ScaleOut,
1423144967034,95.1,89.0,1.0,EventProcessingUnit,ScaleOut,
1423144972030,95.1,23.0,1.0,EventProcessingUnit,ScaleOut,
1423144977025,95.3,52.0,1.0,EventProcessingUnit,ScaleOut,
1423144982047,95.3,61.0,1.0,EventProcessingUnit,ScaleOut,
1423144987038,94.8,10.0,1.0,EventProcessingUnit,ScaleOut,
1423144992040,94.8,74.0,1.0,EventProcessingUnit,ScaleOut,
1423144997107,95.3,39.0,1.0,EventProcessingUnit,ScaleOut,
1423145002066,95.3,26.0,1.0,EventProcessingUnit,ScaleOut,
1423145007057,95.5,83.0,1.0,EventProcessingUnit,ScaleOut,
1423145012057,95.5,28.0,1.0,EventProcessingUnit,ScaleOut,
1423145017057,95.3,47.0,1.0,EventProcessingUnit,ScaleOut,
1423145022057,95.3,81.0,1.0,EventProcessingUnit,ScaleOut,
1423145027057,94.9,15.0,1.0,EventProcessingUnit,ScaleOut,
1423145032060,94.9,58.0,1.0,EventProcessingUnit,ScaleOut,
1423145037059,95.7,55.0,1.0,EventProcessingUnit,ScaleOut,
1423145042061,95.7,20.0,1.0,EventProcessingUnit,ScaleOut,
1423145047064,94.1,87.0,1.0,EventProcessingUnit,ScaleOut,
