Time ,cost , ongoingAction, targetedNodeID
1423145537309,0.1111,EventProcessingUnit,ScaleOut,
1423145542309,0.0586,EventProcessingUnit,ScaleOut,
1423145547318,0.1401,EventProcessingUnit,ScaleOut,
1423145552312,0.1039,EventProcessingUnit,ScaleOut,
1423145557313,0.0658,EventProcessingUnit,ScaleOut,
1423145562316,0.1343,EventProcessingUnit,ScaleOut,
1423145567316,0.0716,EventProcessingUnit,ScaleOut,
1423145572321,0.07,EventProcessingUnit,ScaleOut,
1423145577321,0.1193,EventProcessingUnit,ScaleOut,
1423145582358,0.0597,EventProcessingUnit,ScaleOut,
1423145587351,0.1343,EventProcessingUnit,ScaleOut,
1423145592356,0.0895,EventProcessingUnit,ScaleOut,
1423145597352,0.07,EventProcessingUnit,ScaleOut,
1423145602353,0.1465,EventProcessingUnit,ScaleOut,
1423145607355,0.0608,EventProcessingUnit,ScaleOut,
1423145612354,0.1039,EventProcessingUnit,ScaleOut,
1423145617355,0.0848,EventProcessingUnit,ScaleOut,
1423145622360,0.0686,EventProcessingUnit,ScaleOut,
1423145627370,0.1193,EventProcessingUnit,ScaleOut,
1423145632371,0.0767,EventProcessingUnit,ScaleOut,
1423145637370,0.0716,EventProcessingUnit,ScaleOut,
