Time ,connectionRate ,cpuUsage ,instances ,cost , ongoingAction, targetedNodeID
1423144171131,36.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144176136,77.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144181138,12.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144186137,60.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144191136,53.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144196134,19.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144201136,84.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144206138,31.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144211144,46.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144216143,67.0,7.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144221158,10.0,7.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144226152,73.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144231152,40.0,5.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144236152,22.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144241152,87.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144246153,26.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144251159,51.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144256159,61.0,6.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144261159,15.0,6.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144266161,80.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144271168,33.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144276161,43.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144281205,70.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144286174,70.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144291172,69.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144296233,42.0,5.8,1.0,0.32,
1423144301218,42.0,5.8,1.0,0.32,
1423144306214,23.0,5.8,1.0,0.32,
1423144311214,87.0,3.5,1.0,0.32,
1423144316214,50.0,3.7,1.0,0.32,
1423144321214,65.0,3.7,1.0,0.32,
1423144326234,65.0,3.7,1.0,0.32,
1423144331223,71.0,3.5,1.0,0.32,
1423144336228,71.0,3.5,1.0,0.32,
1423144341252,44.0,5.1,1.0,0.32,
1423144346242,86.0,6.0,1.0,0.32,
1423144351261,86.0,6.0,1.0,0.32,
1423144356242,57.0,4.7,1.0,0.32,
1423144361336,57.0,4.7,1.0,0.32,
1423144366385,56.0,4.7,1.0,0.32,
1423144371387,75.0,4.4,1.0,0.32,
1423144376392,39.0,5.7,1.0,0.32,
1423144381392,35.0,5.7,1.0,0.32,
1423144386396,78.0,5.5,1.0,0.32,
1423144391463,14.0,5.5,1.0,0.32,
1423144396512,14.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144401523,53.0,6.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144406520,22.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144411544,22.0,5.5,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144416571,22.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144421597,50.0,4.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144426598,67.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144431600,9.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144436692,9.0,4.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144441695,48.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144446698,28.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144451712,28.0,4.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144456721,21.0,7.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144461720,56.0,7.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144466747,58.0,6.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144471761,16.0,6.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144476754,76.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144481768,36.0,5.3,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144486766,40.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144491767,72.0,6.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144496765,17.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144501770,57.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144506768,58.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144511768,16.0,4.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144516768,81.0,7.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144521768,32.0,7.4,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144526771,43.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144531771,70.0,5.8,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144536770,8.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144541767,73.0,4.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144546779,40.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144551775,34.0,7.7,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144556771,80.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144561776,26.0,5.2,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144566777,45.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144571780,73.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144576786,9.0,7.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144581791,67.0,7.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144586794,46.0,7.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144591793,31.0,7.6,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144596797,83.0,6.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144601797,16.0,6.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144606799,57.0,8.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144611801,56.0,8.1,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144616807,20.0,7.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144621814,84.0,7.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144626823,29.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144631825,38.0,5.0,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144636830,75.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
1423144641835,10.0,4.9,1.0,0.32,EventProcessingUnit,ScaleOut,
